TimeStamp,LT-V-DVR est active,LT-V<2 est active,LT-AO1 est active,LT-AO2 est active,LT-Ads est active,LT-Acq est active,LT-CF est active,LT-CF2 est active,LT-IH-UFR est active,LT-IF est active,LT-W est active,LT-OC est active,Fin de course porte verrouillé activé,Fin de course porte fermé activé,Fin de course 1 de condamnation porte activé,Fin de course 2 de condamnation porte activé,Fin de course CLA complétement fermé activé,Fin de course CLA fermé activé,Fin de course CLA isolé activé,Fin de course CLA 1 de condamnation activé,Fin de course CLA 2 de condamnation activé,BP d'ouverture int activé,BP d'ouverture ext activé,BP de dev d'urgence porte activé,Carré de forçage en ouverture du CLA activé,Carré de forçage en fermeture du CLA activé,Poigné de dev d'urgence porte activé,Carré de dev d'urgence porte int activé,Carré de dev d'urgence porte ext activé,Voyant porte non ouvrable int:Activ en continue,Voyant porte non ouvrable ext:Activ en continue,Voyant BP d'ouverture int : Activé en continue,Voyant BP d'ouverture ext : Activé en continue,Voyant BP de dev d'urgence:Activé en continue,Voyant porte non ouvrable int : Clignotant,Voyant porte non ouvrable ext : Clignotant,Voyant UFR int : Clignotant,Voyant UFR ext : Clignotant,Voyant de fermeture : Clignotant,Voyant BP d'ouverture int : Clignotant,Voyant BP d'ouverture ext : Clignotant,Voyant BP de dev d'urgence : Clignotant,Présence d'un défaut,Code du défaut présent- Cf.Tableau des defauts,Courant moteur de la porte,Tension moteur de la porte,Position moteur de la porte,Courant moteur de la marche mobile,Tension moteur de la marche mobile,Position moteur de la marche mobile
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,928,805,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,41,828,808,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,1193,812,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,1136,816,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2182,792,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1840,449,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1354,487,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1458,487,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1847,506,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1506,486,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1811,523,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1408,437,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1418,486,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1577,434,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1408,339,818,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,971,233,818,0,0,0
